File	Method	Level	Seconds
TestData/10_90_1000.fwf2	bz2	1	0.15
TestData/10_90_1000.fwf2	bz2	9	0.14
TestData/10_90_1000.fwf2	gz	1	0.07
TestData/10_90_1000.fwf2	gz	9	0.08
TestData/10_90_1000.fwf2	lzma	NA	1.05
TestData/10_90_1000.fwf2	snappy	NA	0.04
TestData/100_900_1000000.fwf2	bz2	1	826.39
TestData/100_900_1000000.fwf2	bz2	9	827.93
TestData/100_900_1000000.fwf2	gz	1	138.09
TestData/100_900_1000000.fwf2	gz	9	315.61
TestData/100_900_1000000.fwf2	lzma	NA	2430.35
TestData/100_900_1000000.fwf2	snappy	NA	35.19
TestData/100000_900000_1000.fwf2	bz2	1	549.96
TestData/100000_900000_1000.fwf2	bz2	9	604.67
TestData/100000_900000_1000.fwf2	gz	1	113.29
TestData/100000_900000_1000.fwf2	gz	9	2074.12
TestData/100000_900000_1000.fwf2	lzma	NA	7128.71
TestData/100000_900000_1000.fwf2	snappy	NA	34.79
